date,price,day,day_of_week,month,lag_1,lag_2,lag_3,lag_7
2026-04-23 23:00:43.134,78241.97434139495,19,3,4,77960.96780301731,77892.40295122238,77758.18784079723,78400.43360010415
2026-04-24 00:00:55.292,78260.61998045091,19,4,4,78241.97434139495,77960.96780301731,77892.40295122238,78107.69300312691
2026-04-24 01:00:29.654,78385.9994566751,19,4,4,78260.61998045091,78241.97434139495,77960.96780301731,77774.75239415659
2026-04-24 02:00:08.427,78450.36540019314,19,4,4,78385.9994566751,78260.61998045091,78241.97434139495,77788.60996280434
2026-04-24 03:00:47.663,78147.75938482724,19,4,4,78450.36540019314,78385.9994566751,78260.61998045091,77758.18784079723
2026-04-24 04:00:51.454,77747.45626454431,19,4,4,78147.75938482724,78450.36540019314,78385.9994566751,77892.40295122238
2026-04-24 05:00:41.879,77705.47025945061,19,4,4,77747.45626454431,78147.75938482724,78450.36540019314,77960.96780301731
2026-04-24 06:00:30.510,77986.53527373911,19,4,4,77705.47025945061,77747.45626454431,78147.75938482724,78241.97434139495
2026-04-24 07:00:51.674,77820.67157019368,19,4,4,77986.53527373911,77705.47025945061,77747.45626454431,78260.61998045091
2026-04-24 08:00:52.384,77631.4765633673,19,4,4,77820.67157019368,77986.53527373911,77705.47025945061,78385.9994566751
2026-04-24 09:00:50.209,77849.7374088029,19,4,4,77631.4765633673,77820.67157019368,77986.53527373911,78450.36540019314
2026-04-24 10:00:08.376,77541.44001609184,19,4,4,77849.7374088029,77631.4765633673,77820.67157019368,78147.75938482724
2026-04-24 11:00:57.707,77769.18978227278,19,4,4,77541.44001609184,77849.7374088029,77631.4765633673,77747.45626454431
2026-04-24 12:00:48.030,78246.79964995776,19,4,4,77769.18978227278,77541.44001609184,77849.7374088029,77705.47025945061
2026-04-24 13:01:00.411,78191.33520155153,19,4,4,78246.79964995776,77769.18978227278,77541.44001609184,77986.53527373911
2026-04-24 14:00:44.185,78079.14695903476,19,4,4,78191.33520155153,78246.79964995776,77769.18978227278,77820.67157019368
2026-04-24 15:00:36.375,78040.02364193133,19,4,4,78079.14695903476,78191.33520155153,78246.79964995776,77631.4765633673
2026-04-24 16:00:44.329,78047.3380693329,20,4,4,78040.02364193133,78079.14695903476,78191.33520155153,77849.7374088029
2026-04-24 17:00:31.162,77754.58226000571,20,4,4,78047.3380693329,78040.02364193133,78079.14695903476,77541.44001609184
2026-04-24 18:00:46.647,77684.72881988292,20,4,4,77754.58226000571,78047.3380693329,78040.02364193133,77769.18978227278
2026-04-24 19:00:05.954,77597.78722462713,20,4,4,77684.72881988292,77754.58226000571,78047.3380693329,78246.79964995776
2026-04-24 20:00:22.681,77640.62590796669,20,4,4,77597.78722462713,77684.72881988292,77754.58226000571,78191.33520155153
2026-04-24 21:00:28.860,77743.96821879945,20,4,4,77640.62590796669,77597.78722462713,77684.72881988292,78079.14695903476
2026-04-24 22:01:16.897,77598.4707273492,20,4,4,77743.96821879945,77640.62590796669,77597.78722462713,78040.02364193133
2026-04-24 23:00:51.647,77360.7247577714,20,4,4,77598.4707273492,77743.96821879945,77640.62590796669,78047.3380693329
2026-04-25 00:00:32.951,77444.79563692068,20,5,4,77360.7247577714,77598.4707273492,77743.96821879945,77754.58226000571
2026-04-25 01:00:40.202,77462.08912922682,20,5,4,77444.79563692068,77360.7247577714,77598.4707273492,77684.72881988292
2026-04-25 02:00:55.350,77566.91332664572,20,5,4,77462.08912922682,77444.79563692068,77360.7247577714,77597.78722462713
